"Reference","Qty","Value","Description","Datasheet","MANUFACTURER","MPN","RS PN","Digikey PN"
"C1","1","100nF","100nF ±10% 16V X7R 0603 Multilayer Ceramic Capacitors MLCC","https://yageogroup.com/content/datasheet/asset/file/KEM_C1002_X7R_SMD","Yageo Group","  C0603C104K4RACTU","264-4630","399-C0603C104K4RACTUCT-ND"
"C2","1","10nF","KEMET 10 nF Multilayer Ceramic Capacitor, 50V dc, ±10 %, Surface","https://yageogroup.com/content/datasheet/asset/file/KEM_C1002_X7R_SMD","Yageo Group","C0603C103K5RACTU","264-4595","399-C0603C103K5RACTUCT-ND"
"C3","1","100nF","100nF ±10% 16V X7R 0603 Multilayer Ceramic Capacitors MLCC","https://yageogroup.com/content/datasheet/asset/file/KEM_C1002_X7R_SMD","Yageo Group","  C0603C104K4RACTU","264-4630","399-C0603C104K4RACTUCT-ND"
"C4","1","4.7uF","4.7 μF Multilayer Ceramic Capacitor, 16V dc, 10 %, Surface","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/8942/490_Chip_Multilayer_CAT2021_MLCC.pdf","Murata"," GRM188C71C475KE21D","247-8044","490-16337-1-ND"
"J1","1","53261-0471","Generic connector, single row, 01x06, script generated","https://www.molex.com/en-us/products/part-detail/532610471?display=pdf","Molex","53261-0471","542-7113","WM7622CT-ND"
"J2","1","JST_PH_S4B-PH-SM4-TB","Generic connector, single row, 01x06, script generated","https://www.jst-mfg.com/product/pdf/eng/ePH.pdf","JST","S4B-PH-SM4-TB","688-1366","455-S4B-PH-SM4-TBCT-ND"
"J3","1","ESQ-105-12-T-D","PC/104 Connectors Elevated Socket Strip","https://suddendocs.samtec.com/catalog_english/esq_th.pdf","Samtec","ESQ-105-12-T-D"," 208-1157","SAM15563-ND"
"J4","1","TSM-102-01-L-DH-A","Generic Connector ,Right Angle Surface Pin Header, 4 Contact(s), 2.54 mm Pitch, 2 Row, Unshrouded","https://suddendocs.samtec.com/catalog_english/tsm.pdf","Samtec","TSM-102-01-L-DH-A","765-6423","SAM15344-ND"
"J5","1","USB-A-S-F-B-SM2-R-TR","Right Angle, Surface Female- 1 Port Type USB Type A IP68 USB Connector USB 2.0","https://suddendocs.samtec.com/prints/usb-a-s-x-x-sm2-x-xx-mkt.pdf","Samtec","USB-A-S-F-B-SM2-R-TR","227-2031","612-USB-A-S-F-B-SM2-R-TRCT-ND"
"U1","1","FT232RL","USB to Serial Interface, SSOP-28","https://www.ftdichip.com/Support/Documents/DataSheets/ICs/DS_FT232R.pdf","FTDI","FT232RL","406-580","  768-1306-ND"
